제네시스,,
92,제네시스 G80....안전하겠죠?[4],"
정말 가족의 안전 때문에 제네시스 G80 사려고 합니다.지금 차는 10년탄 SM5이구요...안전이라고 할때 강력한 차체를 의미하므로,그냥 G80 3300cc 럭셔리 모델에다가4륜구동(HTRAC)만 달까 하는데...굳이 스마트센스패키지 넣어야 할까요? ㅠㅜ이거 넣으면 예산이 초과되서요...한편으로는 250만원인데 넣을 수도 있지만지금까지 만으로도 예산 초과네요^^고수님들의 의견부탁합니다.p.s.) 외제차는...고려하고 있지 않고 있습니다. A/S.유지비 문제도 있고,? ? ? 제가 좀...국뽕이라서요...
"
245,"국토부,‘올해의 안전한 차’ 제네시스 ‘최우수’로 선정[9]","
국토부,‘올해의 안전한 차’ 제네시스 ‘최우수’로 선정…""선정 이유는?""국토부,‘올해의 안전한 차’ 제네시스 ‘최우수’로 선정…""선정 이유는?""'올해의 안전한 차'로 현대차 제네시스와 기아차 쏘렌토, 카니발이 선정돼 눈길을 끌고있다.17일 국토교통부는 국내 판매되는 자동차의 안전성을 평가하는 2014년 '올해의 안전한 차'에서 최우수 자동차 부문은 96.6점을 받은 현대차의 '제네시스'가 뽑혔다고 밝혔다. 기아차의 '쏘렌토'와 '카니발'이 각각 92.1점과 91점으로 우수 자동차로 뽑혀 뒤를 이었다.이들을 포함한 10개 차종은 충돌과 주행, 사고 예방 안전성 등 4개 분야 종합 평가에서 1등급을 받았다. 기아 쏘울과 포드 익스플로러는 보행자 안전성 부문에서 낮은 점수를 받아 각각 2등급과 3등급을 받았고, 충돌 안전성이 부족한 것으로 나타난 르노삼성 QM3는 5등급이라는 성적을 받았다.이번에 평가한 차종은 국산차는 한국지엠 스파크 EV·크루즈·현대 쏘나타·제네시스·기아 쏘울·쏘렌토·카니발 등이며 수입차는 폭스바겐 골프·아우디 A6·렉서스 ES350·벤츠 E300·르노삼성 QM3·포드 익스플로러 등이다.국토부는 종합평가 등급의 변별력을 높이고 더욱 안전한 자동차가 제작될 수 있도록 평가등급 산정기준을 강화해 나갈 계획이다. 자동차안전도평가 결과에 대한 세부사항은 자동차제작결함신고센터 누리집(www.car.go.kr/kncap)과 스마트폰(m.car.go.kr/kncap)을 통해서도 확인할 수 있다.올해의 안전한 차 소식을 접한 네티즌들은 ""올해의 안전한 차, 의외네"" ""올해의 안전한 차, 국산차도 좋구나"" ""올해의 안전한 차, 안전하게 운전할 수 있으면 좋겠다"" 등의 반응을 보였다.[출처] 본 기사는 조선닷컴에서 작성된 기사 입니다형님들 국토부에서 국산차가 제일 안전하다네요믿어봅시다 뭐... 괜히 반박하면 고소 당할수도 있으니..뭐 그렇다네요..ㅎㅎ믿거나 말거나..PS. 박명장님 화이팅입니다.계란으로 바위 깨보자구요!
"
226,"유럽용 투싼에만 적용하고, 국내에는 적용 안된 첨단 안전기술은?[4]","
유럽용 투싼에만 적용하고, 국내에는 적용 안된 첨단 안전기술은?
모터리언2015.03.26
유럽용 투싼에만 적용하고, 국내에는 적용 안된 첨단 안전기술은?
지난 17일 현대 컴팩트 SUV 투싼 3세대 모델이 출시됐다. 1세대 ‘투싼’, 2세대 ‘투싼 ix’에 이어 이번부터는 다시 ‘투싼’이다.

싼타페에 이어 투싼도 차체가 커지면서 투싼 아래 새로운 모델이 진입할 여지를 만든 점도 주목할 만하다. 쉐보레 트랙스와 르노삼성 QM3에 이어 쌍용 티볼리까지 가세하면서 크게 성장하고 있는 초소형 SUV 세그먼트에 현대, 기아의 진입은 당연해 보인다. 

하지만 당분간은 투싼이 이 세그먼트에도 대응해야 하기에 기존 R 2.0 디젤 엔진 외에 U2 1.7 디젤 엔진과 듀얼 클러치 변속기 7단 DCT의 조합을 새롭게 도입했다.

이번 3세대 투싼은 지난 3월 초 제네바 모터쇼를 통해서 처음으로 데뷔했다. 유럽 시장에서 큰 활약이 기대되는 만큼 국내 출시 이전에 먼저 공개된 것이다.

제네바 모터쇼에서 만난 투싼에는 반가운 신기술이 적용돼 있었다. 바로 주행 조향보조 시스템(Lane Keeping Assist System, LKAS)과 자동 긴급제동 시스템(AEB)이 그것이다. 

메르세데스-벤츠나 볼보 등의 일부 모델에도 최근에 적용되어 큰 호평을 받은 안전기술로 이들을 통해서 국내에도 소개된 기능들이다. 그리고 국산차에는 2015년형 제네시스에 처음 적용됐다.

유럽용 투싼에만 적용하고, 국내에는 적용 안된 첨단 안전기술은? 
그런데 신형 투싼이 한국에 출시되면서 기대했던 이 두 기능 중 자동 긴급제동 시스템(AEB)만 국산 SUV 최초로 적용됐고, 주행 조향보조 시스템(LKAS)은 적용되지 않았다. 국내 출시된 신형 투싼에는 최신 기능인 LKAS 대신 기존 국산차들에 많이 적용됐던 차선 이탈 경고 시스템(LDWS)이 그대로 적용됐다.

차선 이탈 경고 시스템은 방향지시등을 켜지 않은 채 차선을 벗어날 경우 경고음이나 진동으로 경고를 보내는 것이 전부이지만, 유럽 투싼에 적용된 주행 조향보조 시스템(LKAS)은 방향지시등을 켜지 않았는데 자동차가 차선을 벗어날 경우, 스스로 스티어링 휠을 돌려 차선을 넘어가지 않도록 막아주는 기능이다. 

이 기능은 부주의한 운전 상황이나 순간적인 졸음 운전으로 인해 차선을 벗어나 사고가 일어나는 것을 막아 주는데 큰 효과를 발휘하게 된다. 제네시스의 경우 운전자가 차선이탈 경보기능, 차선 유지 보조기능, 능동 조향 보조 기능 중에서 하나를 선택해서 사용할 수 있다.

유럽용 투싼에만 적용하고, 국내에는 적용 안된 첨단 안전기술은? 
사진 중 위는 제네바 모터쇼에 등장한 유럽형 투싼의 주행 조향보조 시스템(LKAS) 작동 버튼이고, 아래는 국내 출시된 투싼의 차선이탈 경고 시스템(LDWS) 작동 버튼이다.

그런데 이런 첨단 기능이 유럽에는 적용됐는데 국내에는 적용되지 않은 배경이 궁금하다. 현대차 관계자는 지역에 따라 적용 기능은 다를 수 있다는 정도의 답변을 내 놓았다.

물론 윗급인 싼타페에 먼저 적용하고, 차 후에 투싼에까지 적용할 수도 있다. 하지만 그러잖아도 해외와 국내 모델을 차별한다는 이유로 국내 소비자들로부터 많은 반감을 싸고 있는 현대차가 또 이런 상황을 연출했다는 것은 쉽게 이해가 되지 않는다.

이 외에도 투싼 신차발표회장에서는 신형 제네시스 이후 모든 출시 모델에 어드밴스드 에어백을 적용하겠다고 한 현대차 측의 약속이 이번 투싼에서는 지켜지지 않았다는 점도 지적됐다.

이에 대해 투싼 개발 담당자는 신형 투싼에는 에어백 6개가 기본으로 장착되며, 충돌 센서를 4개에서 8개로 2배 늘였고, 에어백 압력 전개방식을 싱글 스테이지에서 듀얼 스테이지로 개선함으로써 안전 성능이 크게 강화되긴 했지만, 어드밴스드 에어백 장착이 의무화 되어 있는 북미와 달리 아직 의무 장착이 아닌 국내에서는 제네시스에 우선 적용하였고, 향후에 점차 확대 적용하겠다고 답했다.

글 박기돈 모터리언 기자
제공 모터리언(www.motorian.kr)
좋아요 6
네이버와 라인을 연동하면, 좋아요한 친구를 알 수 있어요.
라인앱이 설치되지 않은 경우, 설치화면으로 이동합니다.
친구확인
한 달간 다시 보지 않기닫기
보내기
                "
258,"폭스바겐 '티구안', 美 IIHS 충돌시험했더니 '안전성 미흡'[2]","
 
 ?폭스바겐 '티구안', 美 IIHS 충돌시험했더니 '안전성 미흡'?폭스바겐 티구안 IIHS 스몰오버랩 테스트 결과(IIHS 제공)?(서울=뉴스1) 류종은 기자 = 올해 국내 수입차 시장에서 가장 많이 판매된 폭스바겐의 콤팩트 스포츠유틸리티차량(SUV) '티구안'이 
충돌실험에서 안정성에 문제가 있는 것으로 나타났다.8일 미국 고속도로보험협회(IIHS)에 따르면 2014년형 폭스바겐 티구안은 
전면부 중 25% 부위만 고정벽에 충돌시키는 '스몰오버랩테스트'에서 'Marginal(미흡)' 판정을 받았다.IIHS는 이번 
시험에서 티구안의 차체 구조와 안전성이 미흡하다고 평가했다. 특히 운전석측 문과 힌지필러(앞문이 설치돼 있는 골조 부분)가 운적석으로 
밀려들어가서 운전자의 왼쪽 엉덩이와 허벅지에 치명적인 상해를 입힐 수 있는 것으로 나타났다.2012년부터 도입된 스몰오버랩테스트는 
차량을 시속 40마일(약 64km) 속도로 몰다 운전석쪽 앞부분 25%를 5피트(약 1.5m) 높이의 딱딱한 벽에 부딪히게 해 안전성을 평가하는 
방식이다. 이 시험은 운전석쪽에 충격이 집중돼 충격이 차체나 엔진을 거치지 않고 앞바퀴를 지나 운전석에 바로 전해진다.IIHS는 
모든 시험결과를 △Good(우수) △Acceptable(양호) △Marginal(미흡) △Poor(나쁨) 등으로 구분한다. 스몰오버랩테스트가 
도입된 이후 기존에 안전하다고 평가받던 많은 차량들의 안전성에 '빨간불'이 켜지고 있다. 최근 2015년식 BMW 5시리즈는 스몰오버랩테스트에서 
티구안과 같은 'Marginal' 등급을 받으며 '프리미엄' 이미지에 타격을 입었다. 반면 현대차 신형 제네시스는 스몰오버랩테스트에서 
'Good' 등급을 받으면서 동급 최고 안전도 '탑 세이프티 픽 플러스'에 선정됐다.폭스바겐 티구안은 국내 시장에서 올들어 
9월까지 6255대 팔려 수입차 판매대수 1위를 기록 중이다. 이는 같은 기간 폭스바겐 전체 판매량(2만3326대)의 26.8%를 차지하는 
규모다.?그래도 에어백은 터짐 ~!
"
433,안전은 옵션이 아니다.라는 기사,"
""안전은 옵션이 아니다.""뉴 캠리를 통해 실지(失地) 회복을 노리고 있는 도요타자동차가 한국 1위 현대자동차의 에어백을 문제 삼고 나섰다. 최근 국내 신문에 신형 캠리 광고<사진>를 내보내면서 '값싼 2세대 디파워드 에어백을 적용할 수도 있었다. 대부분 차들이 그렇게 하니까, 에어백은 보이지 않는 거니까'라고 쓰고 '캠리는 동급 최고 4세대 어드밴스드 10 에어백 적용'이라는 문구를 달았다.디파워드(depowered) 에어백이란 기존 에어백보다 터질 때의 압력을 줄인 것이다. 이는 기존 에어백이 터질 때 급팽창하면서 승객에게 상해를 입히기 때문이다.어드밴스드(advanced) 에어백도 터질 때 기존 에어백보다 팽창 압력을 줄인 에어백이긴 하지만 승객이 앉은 위치, 자동차의 속도, 충격을 받는 각도 등에 따라 팽창 압력을 조절한다. 이 때문에 어드밴스드 에어백은 디파워드보다 진화한 4세대 에어백으로 불린다. 가격도 디파워드 에어백보다 30% 정도 비싸다.문제는 어드밴스드 에어백을 자동차에 반드시 적용해야 하는 곳이 북미지역밖에 없다는 것이다. 북미지역 법규에 어드밴스드 에어백을 의무적으로 적용하라고 명시돼 있지는 않다. 그러나 미국도로교통안전국(NHTSA)이 제시한 에어백 규정에는 우리나라 법규에 없는 시속 40㎞ 이하의 저속 충돌 때 에어백 작동이 의무화돼 있기 때문에 이 규정을 충족시키기 위해서는 어드밴스드 에어백을 적용할 수밖에 없다. 우리나라를 비롯한 유럽 등지에는 이런 규정이 없기 때문에 비싼 고급 차가 아니라면 자동차 회사가 굳이 자진해서 가격이 비싼 어드밴스드 에어백을 사용할 필요가 없는 것이다.우리나라도 현대차의 경우 에쿠스와 제네시스 등 고급 차에만 어드밴스드 에어백이 적용되고 있다. 쏘나타 같은 중형차 이하급은 내수용에는 적용하지 않고 북미 수출용에만 적용한다. 이 때문에 에어백은 내수용 차와 수출용 차 차별 논란에서 항상 거론되는 단골 항목이다. 현대차 측은 그러나 ""국내 법규나 유럽 법규가 어드밴스드 에어백을 의무화하는 쪽으로 바뀐다면 당연히 따를 것""이라며 ""디파워드 에어백도 승객 보호 기능이 충분히 검증돼 있는데 굳이 비싼 에어백을 적용해 소비자 부담을 늘릴 필요는 없는 것 아니냐""고 말했다.


 
도요타는 지난 1월 뉴 캠리의 한국 신차 발표회에 창업주의 장(長)손자인 도요다 아키오(豊田章男) 일본 도요타 본사 사장이 직접 참석하면서 한국 시장에 주력하고 있다. 도요타로서는 한국이 그리 큰 시장은 아니지만 지난해 3월 동일본 대지진 이후 글로벌 시장에서 도요타가 주춤하는 사이 무섭게 치고 올라오는 현대·기아차를 안방에서 견제해야 한다는 절박감이 작용한 것으로 보인다. 자동차업계는 도요타가 지금까지의 '경제적'이라는 이미지를 넘어 '안전'이라는 이미지를 강조하면서 현대차 공격에 나선 것으로 보고 있다.
"
561,안전성이 뛰어난 스마트 에어백 들어가는 차종은?[2],"
?
?

?
?
에어백에 대한 간단한 정의입니다.
?
?
차를 타면서 에어백에 대해서는 꼭 신경 써야합니다.
차의 성능도 좋아야하지만 타는사람의 안전성이 제일 중요시 되기 때문이죠.
?
?
현재 국산차의 대부분은 디파워드 에어백을 사용하고 있으며
외국 차들 같은 경우엔 어드밴스 에어백을 씁니다. (미국 안전법상)
?
------------------------------------------------------------------------------------------------------
?
1세대: SRS에어백 (NF,로체)
2세대: 디파워드에어백 (YF, 모하비, 베라크루즈, 그랜저, K7, 제네시스쿠페, 아반떼, 포르테)
3세대: 스마트에어백 (토스카,제네시스 ,SM7, SM5, 에쿠스, 베리타스)
4세대: 어드밴스드에어백 (캠리, 알티마)
------------------------------------------------------------------------------------------------------
?
현대, 기아의 같은 경우엔 [원가 절감 요인]으로 채용되지 않고 있고 
제네시스에만 들어가있군요 ㅋㅋ 
?
중형차인 토스카 에도 들어가있는 스마트에어백이 어찌
현대랑 기아 차에선 보이지 않는 것인지 ~
안전성을 고려한다면 원가 절감 요인이고 뭐고 해줘야 하지 않겠나요??
?
?
미국에서 검증된 안전성을 가진 라크로스를 모체로 하는?알페온 같은 경우엔 ?
운전석, 조수석, 운전석 사이드, 조수석 사이드, 후석 사이드 좌우2개, 커튼에어백 2개 해서
총 8 개의 에어백이 장착되어 있습니다.
?
거기에 스마트 에어백까지 들어간다는 정보가 있으니 
라크로스가 인정받은 안전성을 그대로 이어 받았으니 안정성 하나는 최고일 듯!
?
?
? 
?
?
"
580,현실적인 가장 안전한차는?[16],"
새차를 구입하려고 합니다. 사실 드라이빙에 큰 관심은 없습니다만, 아이들이 태어나니
?
크고 안전한 차가 한대는 있어야 겠다는 생각이 듭니다.
?
물론 비싼차가 안전하겠지만 현실적으로 그렇지 못하니...
?
현재 제네시스 기본형(4100만원)과 토러스 셀(3800만원)에 눈이 갑니다. 시승예정이구요.
?
요즘 현대차가 내수용 품질이 나쁘다고 하는데 제네시스 같은 차도 내수용이 나쁜가요? (특히 안전도면에서)
?
토러스가 좋다는 시승기가 참 많던데, 실내는 상당히 좁다는 말도 많고... 유지비도 부담스러울것 같고..
?
토러스도 국내용과 미국용이 다른건 아닌지 궁금하고요.
?
비슷한 금액대에서 가장 안전하고 (물론 클수록 안전할테니 크기도 포함), 가장 안이 넓은 차
?
어떤것이 있을까요??
?
비싼돈들여 차는 사야되는데 정보는 한정되어 있고 어느것이 맞는 이야기인지 알수도 없고 답답합니다.
?
요긴한 정보 있으신 분들 귀띔좀 부탁드립니다. 감사^^
"
622,"정부, 올해 가장 안전한 차 선정. 신형 에쿠스 등 3개 차종 확정[2]","

국내에서도 '올해의 가장 안전한 차'가 정부 주도로 선정 발표된다. ? 국토해양부와 교통안전공단 산하 자동차성능시험연구소 등에 따르면 정부는 지난해 하반기부터 올 상반기?사이에?출시된 신차를 대상으로 충돌안전테스트를 실시,?그 중?가장 좋은 성적을 거둔 차량을 올해 가장?안전한 차?로 선정, 시상키로 했다. ? 이에따라 국토해양부는 오는 11일, 2009 신차 안전도 평가 결과 발표에 이어 오후 2시부터 과천과학관에서 올해 가장 안전한 차(국토해양부장관상) 시상식을 가질 예정이다. ? 올해 가장 안전한 차 선정은 일반차량 부문(배기량 1600cc급 이상)과 경.소형차 부문(배기량 1600cc급 이하), 그리고 수입차 부문 등 3개 부문으로 나눠 진행되며 대상 차량은 기아자동차의 쏘울, GM대우 라세티 브리미어, 현대자동차의 신형 에쿠스, 제네시스 쿠페 등 국산 8개 차종과 수입차 혼다 어코드와 메르세데스 벤츠 C클래스 등이다. ? 이 가운데 일반차량 부문에서는 현대자동차의 신형 에쿠스가 가장 유력하며 경.소형차급에서는 쏘울과 라세티 프리미어가 경합을 벌이고 있는 것으로 알려졌다. ? 국토해양부와 성능시험연구소는?올해 측면, 제동력, 보행자 보호 등 기존 평가항목 외에 차체의 일부를 충돌시켜 실제 사고 상황과 유사하게 만드는 시험 방법인 옵셋 충돌항목을 추가, 평가항목을 7개로?늘려 평가했다. ? 또 내년부터는 이들 4개 분야에 대한 종합안전도?평가를 실시, 매년 올해 가장 안전한 차를 선정 발표키로 했다.한편, 미국에서는 미국 고속도로안전 보험연구소(IIHS)가?매년 신 차종을 대상으로?신차 충돌테스트를 실시, ?최고 안전한 차량(Top Safety Pick)을 선정, 발표해 오고 있다. 
?
이상원 기자 ljy01 autodaily.co.kr 
"
,,
bmw,,
537,안전도 테스트 1위 알페온=벤츠 3위 BMW 7위 그랜저[10],"
안전도 테스트 
1위 알페온, 벤츠
3위 BMW
7위 그랜저
K7은 순위권 밖 ㅡㅇㅡ;; ㅋㅋㅋ
?
?
?
?
?http://channel.pandora.tv/channel/video.ptv?ch_userid=honorjang&prgid=37961958
"
80,도로공사의 안전불감증,"
조금 전 4월 25일 9시 35분쯤  상행  입장휴게소에서 
도로공사차량이 체납 차량을 단속하며  있던 일입니다.

횡단보도 옆에 주차된 BMW 차량을 앞뒤로 막아서고
사진을 찍으며 4-5명의 유니폼을 입은 직원들이 이야기를 하고 있더군요. 
정당한 업무수행이지만  장소가 횡단보도 바로 옆이라는데  문제가 있습니다.

횡단보도 바로 옆을  3대의 차량이 막아선 꼴이 되니
진행하는 차량은 횡단보도를 건너는  사람을
못보게 됩니다. 안전사고의  우려가 있는거지요
게다가 그 시간에 초등학생들이 단체로 버스에서 내려서  화장실을 다녀오는 시간이었습니다.

업무중인 직원에게 차량 뒤쪽에서 주의 안내라도
해 달라고 강하게 어필 했으나 받아들여 지지 않더군요

차량을 앞뒤로 막아선 상태고 직원이 4-5명은 되고
2명은  주의 안내를 해도 될텐데 하지  않더군요.

사고가 나야 할런지
사고가 나도 책임 없다고 할 분위기....

도로공사는 안전교육  부탁드립니다
                "
187,소형 중 그나마 가장 안전한 차[6],"
안녕하십니까. 이번에 졸업을 하면서 취업이 확정된 26세 공대남입니다. 지방공단이라 대중교통이 불편하여 차를 구매하려 합니다. ?중요시하는 우선순위는 1. 전장 4.3m 이내! 2. 안전성 - 오로지 운전석 기준(뒷좌석 제외)으로 차대차 사고에서의 안전성입니다. ?cf) 제가 가정한 차대차 사고란 ? 1) 정차 중에 앞에 다른 차량이 있는 상태에서 뒤에서 중형급 이상의 차량과 후방충돌 ? 2) 사거리에서 신호를 받고 직진 중, 비상식적인 신호위반 운전자와의 측면충돌 ? 3) 고속 주행 중, 후방충돌로 인해 반대차선으로 넘어가 전방충돌 -> 차량 크기는 더 작을 수록, 문은 2도어, 연료는 가솔린을 선호하고 연비나 보험료, 브랜드 가치, A/T여부는 상관 없습니다. 하지만 이 모든 것은 우선순위인 안전성에 의해 묵살할 수 있습니다. ?지금까지 모은 돈은 3천만원입니다. 차량은 5년 단위로 교체할 것입니다. 예상 주행거리는 하루 왕복 30km로 시내4 고속6 정도 입니다. 주말에 놀러다녀도 1년에 1.5만km 이내로 주행할 것 같습니다. 120km/h 이내로만 주행하며 방어운전할 것입니다. 하지만 혼자만 조심한다고 해서 사고를 피해갈 수 없는 것 같습니다. 현시점에서 전장이 4.3m 이내이면서 최고로 안전한 차량은 무엇인지 알려주시면 감사하겠습니다. ?제가 추려본 차량은 아래와 같습니다. ?1년 이후 2년 이내 중고차(2014등록차량) ?1. 미니 쿠퍼 3세대 기본형 3도어 ?2. 쉐보레 아베오RS ?3. 기아 쏘울 1.6GDI 프레스티지 ?4. 현대 i30 1.6GDI PYL ?5. 현대 벨로스터 1.6GDI PYL / D-spec ?6. 혼다 시빅 1.8 유로?7. 폭스바겐 더비틀 2.0TDI(디젤) ?3년 이후 4년 이내 중고차(2012등록차량)??8. 폭스바겐 골프 1.4TSI?10. 볼보 C30 D4(디젤) 12. bmw 120d 쿠페(디젤)? [전장이 넘지만 디자인 덕분에 추가] ?포드 포커스, 렉서스 ct200h, 밴츠 A클래스?가성비를 생각해서 국산차로 가고 싶은데, 국산차가 수입차에 비해 보닛이 짧아서 크럼프존이 작은 것이 염려됩니다. 준중형인 크루즈정도 만큼 아베오 보닛이 9cm만 더 길었으면 하는데 아쉽습니다. 또한 공차중량도 수입이 더 무거워서 안전을 생각하면 국산을 사면 안돼는 것인지 고민입니다.
"
254,혹시 안전벨트를 편하게 맬수있게 해주는 기술이 있나요?[3],"
???디자인과 학생인데요ㄷㄷ?안전벨트 아이디어 조사하다가 이런사진을 발견했는데(http://www.lesgrenouilles.net/bmw/bmw-coupe-seat-belt-arm-hd.html)?저는 현대차오너라 이런걸 처음보는데?혹시 외제차나 다른차량 운전하시는분들중에 이런 기능을 가진 차량을 가지고 계신다거나?비슷한 기술이 개발된 이야기등 아시는거 있으신분 계신가용 ㄷㄷ?답변좀 부탁드릴께요~ㅠ 
"
